Date,Price
1-Oct-18,11052 
28-Sep-18,11006 
27-Sep-18,11034 
26-Sep-18,10974 
25-Sep-18,10979 
21-Sep-18,10972 
20-Sep-18,10831 
19-Sep-18,10857 
18-Sep-18,10760 
17-Sep-18,10829 
14-Sep-18,10868 
13-Sep-18,10727 
12-Sep-18,10723 
11-Sep-18,10752 
10-Sep-18,10726 
7-Sep-18,10847 
6-Sep-18,10924 
5-Sep-18,10995 
4-Sep-18,11021 
3-Sep-18,10964 
31-Aug-18,11064 
30-Aug-18,11094 
29-Aug-18,11100 
28-Aug-18,10990 
27-Aug-18,10902 
24-Aug-18,10809 
23-Aug-18,10863 
22-Aug-18,10804 
21-Aug-18,10792 
20-Aug-18,10699 
17-Aug-18,10691 
16-Aug-18,10684 
15-Aug-18,10717 
14-Aug-18,10824 
13-Aug-18,10749 
10-Aug-18,10984 
9-Aug-18,11028 
8-Aug-18,11075 
7-Aug-18,10983 
6-Aug-18,11024 
3-Aug-18,11012 
2-Aug-18,10930 
1-Aug-18,11098 
31-Jul-18,11058 
30-Jul-18,11034 
27-Jul-18,11076 
26-Jul-18,11011 
25-Jul-18,10966 
24-Jul-18,10995 
23-Jul-18,10947 
20-Jul-18,10932 
19-Jul-18,10835 
18-Jul-18,10842 
17-Jul-18,10779 
16-Jul-18,10817 
13-Jul-18,10865 
12-Jul-18,10738 
11-Jul-18,10677 
10-Jul-18,10757 
9-Jul-18,10720 
6-Jul-18,10609 
5-Jul-18,10612 
4-Jul-18,10722 
3-Jul-18,10716 
2-Jul-18,10778 
29-Jun-18,10837 
28-Jun-18,10654 
27-Jun-18,10701 
26-Jun-18,10742 
25-Jun-18,10786 
22-Jun-18,10899 
21-Jun-18,10941 
20-Jun-18,10927 
19-Jun-18,10904 
15-Jun-18,11087 
14-Jun-18,11014 
13-Jun-18,11173 
12-Jun-18,11145 
11-Jun-18,11149 
8-Jun-18,11156 
7-Jun-18,11252 
6-Jun-18,11202 
5-Jun-18,11100 
4-Jun-18,11110 
1-Jun-18,10949 
31-May-18,10875 
30-May-18,10821 
29-May-18,10964 
28-May-18,10988 
25-May-18,10942 
24-May-18,10937 
23-May-18,10886 
22-May-18,10939 
21-May-18,10966 
18-May-18,10831 
17-May-18,10834 
